Datetime,Close,High,Low,Open,Volume
2025-06-17 00:26:00+00:00,59100,59200,58900,59000,275844
2025-06-17 00:27:00+00:00,59100,59200,59000,59100,109094
2025-06-17 00:28:00+00:00,59200,59300,59050,59100,212733
2025-06-17 00:29:00+00:00,59200,59400,59200,59300,234467
2025-06-17 00:30:00+00:00,59500,59500,59200,59250,313378
2025-06-17 00:31:00+00:00,59400,59500,59300,59400,153429
2025-06-17 00:32:00+00:00,59600,59700,59400,59400,339025
2025-06-17 00:33:00+00:00,59700,59700,59500,59600,144757
2025-06-17 00:34:00+00:00,59600,59700,59500,59600,234670
2025-06-17 00:35:00+00:00,59600,59700,59500,59600,68574
2025-06-17 00:36:00+00:00,59400,59700,59400,59600,219551
2025-06-17 00:37:00+00:00,59600,59700,59400,59500,203628
2025-06-17 00:38:00+00:00,59700,59700,59500,59600,85239
2025-06-17 00:39:00+00:00,59700,59800,59600,59700,317191
2025-06-17 00:40:00+00:00,59550,59700,59500,59600,122710
2025-06-17 00:41:00+00:00,59700,59800,59500,59550,203000
2025-06-17 00:42:00+00:00,59550,59800,59500,59700,89265
2025-06-17 00:43:00+00:00,59550,59600,59500,59550,24850
2025-06-17 00:44:00+00:00,59600,59700,59500,59600,130616
2025-06-17 00:45:00+00:00,59450,59700,59400,59600,146743
2025-06-17 00:46:00+00:00,59400,59500,59300,59450,227616
2025-06-17 00:47:00+00:00,59400,59500,59300,59500,94682
2025-06-17 00:48:00+00:00,59400,59500,59400,59500,18968
2025-06-17 00:49:00+00:00,59400,59500,59400,59500,20237
2025-06-17 00:50:00+00:00,59400,59500,59300,59400,131233
2025-06-17 00:51:00+00:00,59200,59400,59200,59300,155323
2025-06-17 00:52:00+00:00,59200,59400,59200,59200,120665
2025-06-17 00:53:00+00:00,59300,59400,59200,59300,67300
2025-06-17 00:54:00+00:00,59200,59300,59200,59300,41054
2025-06-17 00:55:00+00:00,59200,59300,59200,59200,18600
2025-06-17 00:56:00+00:00,59200,59300,59200,59200,36676
2025-06-17 00:57:00+00:00,59200,59300,59200,59200,160412
2025-06-17 00:58:00+00:00,59200,59300,59200,59300,35125
2025-06-17 00:59:00+00:00,59250,59300,59200,59200,30611
2025-06-17 01:00:00+00:00,59400,59500,59200,59250,125142
2025-06-17 01:01:00+00:00,59500,59500,59350,59500,54127
2025-06-17 01:02:00+00:00,59450,59500,59400,59400,15983
2025-06-17 01:03:00+00:00,59400,59500,59300,59450,61922
2025-06-17 01:04:00+00:00,59500,59500,59400,59450,21704
2025-06-17 01:05:00+00:00,59600,59600,59400,59400,176082
2025-06-17 01:06:00+00:00,59600,59600,59500,59600,26698
2025-06-17 01:07:00+00:00,59400,59600,59400,59500,78223
2025-06-17 01:08:00+00:00,59300,59500,59300,59400,102160
2025-06-17 01:09:00+00:00,59250,59350,59200,59300,206222
2025-06-17 01:10:00+00:00,59100,59300,59100,59200,132426
2025-06-17 01:11:00+00:00,59100,59200,59100,59100,22365
2025-06-17 01:12:00+00:00,59100,59150,59100,59150,32571
